/Users/corinacaraconcea/Downloads/diversity_study/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-MultiRoom-N7-S4-v0 --save-interval 10 --frames 80000

Namespace(algo='ppo', env='MiniGrid-MultiRoom-N7-S4-v0', model=None, seed=1, log_interval=1, save_interval=10, procs=16, frames=80000, epochs=4, batch_size=256, frames_per_proc=None, discount=0.99, lr=0.001, gae_lambda=0.95, entropy_coef=0.0005, value_loss_coef=0.5, max_grad_norm=0.5, optim_eps=1e-08, optim_alpha=0.99, clip_eps=0.2, recurrence=2, text=False, intrinsic_coef=0.005, intrinsic_reward_model=None, number_skills=10, window_size=5, mem=True)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 0000002048 | FPS 1462 | D 1 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.941 | V 0.066 | pL 0.011 | vL 0.000 | ∇ 0.012
U 2 | F 0000004096 | FPS 1566 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.938 | V 0.063 | pL 0.015 | vL 0.000 | ∇ 0.005
U 3 | F 0000006144 | FPS 1540 | D 4 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.935 | V 0.046 | pL 0.013 | vL 0.000 | ∇ 0.004
U 4 | F 0000008192 | FPS 1646 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.937 | V 0.037 | pL 0.011 | vL 0.000 | ∇ 0.004
U 5 | F 0000010240 | FPS 1437 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.938 | V 0.027 | pL 0.009 | vL 0.000 | ∇ 0.003
U 6 | F 0000012288 | FPS 1374 | D 8 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.942 | V 0.021 | pL 0.007 | vL 0.000 | ∇ 0.001
U 7 | F 0000014336 | FPS 1627 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.943 | V 0.015 | pL 0.005 | vL 0.000 | ∇ 0.002
U 8 | F 0000016384 | FPS 1639 | D 10 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.942 | V 0.012 | pL 0.004 | vL 0.000 | ∇ 0.001
U 9 | F 0000018432 | FPS 1625 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.940 | V 0.010 | pL 0.004 | vL 0.000 | ∇ 0.001
U 10 | F 0000020480 | FPS 1624 | D 13 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.941 | V 0.008 | pL 0.003 | vL 0.000 | ∇ 0.001
U 11 | F 0000022528 | FPS 1585 | D 14 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.942 | V 0.005 | pL 0.002 | vL 0.000 | ∇ 0.000
